TURSM_CNTNTS_SEQ,MENU_CD,LANG_CD,MAIN_THUMB_IMAGE_LC,DETAIL_EX_URL,CNTNTS_REPRSNT_TITLE,CNTNTS_REPRSNT_SUBTITLE,MAIN_PLACE_NM,ONE_CTGRY_NM,TWO_CTGRY_NM,GUGUN_NM,LA,LO,HASHTAG,TOUR_HNTIP,TOUR_ETIQUETTE,TRNSPROT_GUID,OPER_TERM,RSTDE_GUID,USE_DAY_ND_TERM,USE_PRICE,REPRSNT_MENU_NM,VIEWS_CO,LIKE_CO,FAVORITE_CO
305,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191226144955936_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=305&lang_cd=ko,‘강다니엘 투어’ 따라 부산 구석구석,강다니엘코스,강다니엘코스,테마여행,이색여행,영도구,35.0788651,129.044281,"#부산여행,#영도여행,#강다니엘,#강다니엘투어,#덕후투어,#영도대교,#흰여울문화마을,#태종대,#부산투어,#추천여행",,,,,,,,,1210,1,0
306,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200117182325604_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=306&lang_cd=ko,"부산 곳곳, 벚꽃이어라",부산벚꽃투어,부산벚꽃투어,테마여행,이색여행,사상구,35.1704445,128.9726868,"#자연,#꽃놀이,#봄여행,#꽃놀이명소,#벚꽃명소,#부산가볼만한곳,#연인과함께,#아이와함께,#산책하기좋은곳,#힐링,#추천여행,#대저생태공원,#삼락생태공원,#맥도생태공원,#해운대달맞이길,#남천동벚꽃거리,#온천천카페거리,#황령산벚꽃길,#포토스폿,#인생샷",,,,,,,,,1936,2,0
307,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191226151124965_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=307&lang_cd=ko,"부산 유채꽃명소 추천, 노란 꽃들의 절정",유채꽃명소,유채꽃명소,테마여행,이색여행,강서구,35.1990585,128.9732208,"#부산여행,#꽃여행,#부산가볼만한곳,#부산사진찍기좋은곳,#부산데이트코스,#추천여행,#가족과함께,#연인과함께,#부산유채꽃명소,#대저생태공원,#삼락생태공원,#온천천시민공원,#오륙도,#포토스폿,#인생샷",,,,,,,,,2394,1,0
310,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191226173045905_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=310&lang_cd=ko,모든 이들에게 공평한 관광을 선사하는 부산 무장애 여행지,무장애여행,무장애여행,테마여행,이색여행,해운대구,35.0761414,129.0166931,"#부산여행,#부산가볼만한곳,#부산무장애여행,#부산당일코스,#장애인추천코스,#장애인추천여행지,#무장애여행추천,#해운대구,#서구,#기장군,#영도구",,,,,,,,,990,0,0
350,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191227192002236_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=350&lang_cd=ko,부산에 숨어있는 웹툰을 찾아서,만화와 부산,만화와 부산,테마여행,이색여행,해운대구,35.1724663,129.125412,"#부산여행,#부산만화,#부산명소,#부산당일여행코스,#부산가볼만한곳,#부산여행지추천,#부산웹툰여행,#부산글로벌웹툰센터,#부산문화콘텐츠콤플렉스,#도시철도미남역,#미남역웹툰거리,#웹툰스마힐링101,#웹툰이바구길,#성북전통시장,#동구웹툰이바구길",,,,,,,,,932,0,0
353,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191227194120543_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=353&lang_cd=ko,여긴 꼭 가야해! 아이와 함께 가기 좋은 곳,아이와 함께 가기 좋은 곳,아이와 함께 가기 좋은 곳,테마여행,이색여행,영도구,35.0786819,129.0802917,"#부산여행,#가족여행,#부산가볼만한곳,#추천여행,#이색체험,#국립해양박물관,#부산시민공원,#부산아쿠아리움,#낙동강생태탐방선,#키자니아부산,#부산영화체험박물관,#트릭아이뮤지엄부산,#솔로몬로파크,#다대포낙조분수,#을숙도",,,,,,,,,3446,1,0
374,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191229154357766_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=374&lang_cd=ko,유니크베뉴_이색공간,유니크베뉴_이색공간,유니크베뉴_이색공간,테마여행,이색여행,해운대구,35.1602936,129.1914368,"#부산여행,#부산가볼만한곳,#유니크베뉴,#이색여행,#추천여행,#부산모임장소,#복합문화공간,#부산MICE,#부산명소,#라벨라치타,#F1963,#신기숲,#젬스톤,#문화골목",,,,,,,,,1495,0,1
378,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230113144176_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=378&lang_cd=ko,유니크베뉴_수변?전경시설,유니크베뉴_수변?전경시설,유니크베뉴_수변?전경시설,테마여행,이색여행,해운대구,35.1524353,129.1512451,"#부산여행,#부산가볼만한곳,#유니크베뉴,#이색여행,#추천여행,#부산모임장소,#복합문화공간,#부산MICE,#부산명소,#누리마루APEC하우스,#뱅델올리브,#포트1902,#레플랑시,#부산아쿠아리움,#메르씨엘,#티파니21,#더베이101요트클럽,#팬스타크루즈,#송도해상케이블카,#목장원,#낙동강문화관",,,,,,,,,1521,0,0
381,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230160911835_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=381&lang_cd=ko,유니크베뉴_전시시설,유니크베뉴_전시시설,유니크베뉴_전시시설,테마여행,이색여행,해운대구,35.1667366,129.1370087,"#부산여행,#부산가볼만한곳,#유니크베뉴,#이색여행,#추천여행,#부산모임장소,#복합문화공간,#부산MICE,#부산명소,#부산시립미술관,#부산디자인진흥원,#국립부산과학관,#국립해양박물관,#유엔평화기념관",,,,,,,,,1408,0,0
382,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230162041791_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=382&lang_cd=ko,유니크베뉴_이벤트?문화시설,유니크베뉴_이벤트?문화시설,유니크베뉴_이벤트?문화시설,테마여행,이색여행,해운대구,35.1710739,129.1269836,"#부산여행,#부산가볼만한곳,#유니크베뉴,#이색여행,#추천여행,#부산모임장소,#복합문화공간,#부산MICE,#부산명소,#영화의전당,#부산문화콘텐츠콤플렉스,#렛츠런파크부산경남,#사상인디스테이션,#글로빌아트홀",,,,,,,,,1263,0,0
